Detailed activity log for 2025-09-06

          id     timestamp  category  duration                                                                                                                                                                                                                                                              window_title  synced        source  local_date
92     56115  1.757137e+09    coding        12                                                                                                                                                                                                                finereader - commandlineinfo.cpp - microsoft visual studio       1  RCR-PF3LV9TF  2025-09-06
93     56116  1.757137e+09    coding         8                                                                                                                                                          c:\projects\ocrt-master 16.3.1202.0\ocrt\ocrengine\shell\finereader\application - file explorer [ master ↓0 ↑0 ]       1  RCR-PF3LV9TF  2025-09-06
94     56117  1.757137e+09    coding        64                                                                                                           winmerge - [(f) ocrengine/shell/finereader/application/commandlineinfo.cpp: b87058c6 - ocrengine/shell/finereader/application/commandlineinfo.cpp: working tre]       1  RCR-PF3LV9TF  2025-09-06
95     56118  1.757137e+09    coding        13                                                                                                                                                                                                                finereader - commandlineinfo.cpp - microsoft visual studio       1  RCR-PF3LV9TF  2025-09-06
96     56119  1.757137e+09    coding        25                                                                                                                                                                                                                                               c:\windows\system32\cmd.exe       1  RCR-PF3LV9TF  2025-09-06
97     56120  1.757137e+09    coding         2                                                                                                                                                                                                                                          82.1% done (611 kb/s) - teracopy       1  RCR-PF3LV9TF  2025-09-06
98     56121  1.757137e+09    coding         2                                                                                                                                                                                                                                          82.1% done (529 kb/s) - teracopy       1  RCR-PF3LV9TF  2025-09-06
99     56122  1.757137e+09    coding         2                                                                                                                                                                                                                                          82.1% done (470 kb/s) - teracopy       1  RCR-PF3LV9TF  2025-09-06
100    56123  1.757137e+09    coding         2                                                                                                                                                                                                                                          82.1% done (427 kb/s) - teracopy       1  RCR-PF3LV9TF  2025-09-06
101    56124  1.757137e+09    coding         2                                                                                                                                                                                                                                          82.1% done (408 kb/s) - teracopy       1  RCR-PF3LV9TF  2025-09-06
102    56125  1.757137e+09    coding         5                                                                                                                                                                                                                                               c:\windows\system32\cmd.exe       1  RCR-PF3LV9TF  2025-09-06
103    56126  1.757137e+09    coding        48                                                                                                                                                                                                                                               c:\windows\system32\cmd.exe       1  RCR-PF3LV9TF  2025-09-06
104    56127  1.757137e+09    coding        26                                                                                                                                                                                                                                               c:\windows\system32\cmd.exe       1  RCR-PF3LV9TF  2025-09-06
105    56128  1.757137e+09    coding        39                                                                                                                                                                                                                                               c:\windows\system32\cmd.exe       1  RCR-PF3LV9TF  2025-09-06
106    56129  1.757137e+09    coding         3                                                                                                                                                                                                                                                            command prompt       1  RCR-PF3LV9TF  2025-09-06
107    56130  1.757137e+09    coding        14                                                                                                                                                                                                                                               c:\windows\system32\cmd.exe       1  RCR-PF3LV9TF  2025-09-06
108    56131  1.757137e+09  learning        36                                                                                                                                                                                                                  google gemini and 15 more pages - work - microsoft​ edge       1  RCR-PF3LV9TF  2025-09-06
109    56132  1.757137e+09    coding        42                                                                                                                                                                                                                                               c:\windows\system32\cmd.exe       1  RCR-PF3LV9TF  2025-09-06
110    56133  1.757137e+09    coding        15                                                                                                                                                                                                          untitled project - abbyy ocrengine.shell 16.3.1202.0 (x64 debug)       1  RCR-PF3LV9TF  2025-09-06
111    56134  1.757137e+09    coding        11                                                                                                                                                                                                                                               c:\windows\system32\cmd.exe       1  RCR-PF3LV9TF  2025-09-06
112    56135  1.757137e+09    coding        11                                                                                                                                                                                                                                               c:\windows\system32\cmd.exe       1  RCR-PF3LV9TF  2025-09-06
113    56136  1.757137e+09    coding        12                                                                                                                                                                                                                finereader - commandlineinfo.cpp - microsoft visual studio       1  RCR-PF3LV9TF  2025-09-06
114    56137  1.757137e+09    coding         5                                                                                                                                                                                                                                                  shell.exe property pages       1  RCR-PF3LV9TF  2025-09-06
115    56138  1.757137e+09    coding        14                                                                                                                                                                                                                                                                   command       1  RCR-PF3LV9TF  2025-09-06
116    56139  1.757137e+09    coding        12                                                                                                                                                                                                                                                  shell.exe property pages       1  RCR-PF3LV9TF  2025-09-06
117    56140  1.757137e+09    coding        12                                                                                                                                                                                                                finereader - commandlineinfo.cpp - microsoft visual studio       1  RCR-PF3LV9TF  2025-09-06
118    56141  1.757137e+09    coding         4                                                                                                                                                                                                                                               c:\windows\system32\cmd.exe       1  RCR-PF3LV9TF  2025-09-06
119    56142  1.757137e+09    coding         4                                                                                                                                                                                                                finereader - commandlineinfo.cpp - microsoft visual studio       1  RCR-PF3LV9TF  2025-09-06
120    56143  1.757137e+09    coding         3                                                                                                                                                                                                                                                  shell.exe property pages       1  RCR-PF3LV9TF  2025-09-06
121    56144  1.757137e+09    coding        17                                                                                                                                                                                                                                                                   command       1  RCR-PF3LV9TF  2025-09-06
122    56145  1.757137e+09    coding         2                                                                                                                                                                                                                                               c:\windows\system32\cmd.exe       1  RCR-PF3LV9TF  2025-09-06
123    56146  1.757137e+09    coding         6                                                                                                                                                                                                                                                                   command       1  RCR-PF3LV9TF  2025-09-06
124    56147  1.757137e+09    coding         2                                                                                                                                                                                                                                               c:\windows\system32\cmd.exe       1  RCR-PF3LV9TF  2025-09-06
125    56148  1.757137e+09    coding         7                                                                                                                                                                                                                                                  shell.exe property pages       1  RCR-PF3LV9TF  2025-09-06
126    56149  1.757137e+09    coding         9                                                                                                                                                                                                          untitled project - abbyy ocrengine.shell 16.3.1202.0 (x64 debug)       1  RCR-PF3LV9TF  2025-09-06
127    56150  1.757137e+09    coding        15                                                                                                                                                                                                                                               c:\windows\system32\cmd.exe       1  RCR-PF3LV9TF  2025-09-06
128    56151  1.757137e+09    coding        12                                                                                                                                                                                                                                               c:\windows\system32\cmd.exe       1  RCR-PF3LV9TF  2025-09-06
